State,Year,Deaths,Population,Crude Rate
California,1999,2959,33499204,8.8
California,2000,3036,33871648,9
California,2001,3136,34479458,9.1
California,2002,3344,34871843,9.6
California,2003,3355,35253159,9.5
California,2004,3224,35574576,9.1
California,2005,3353,35827943,9.4
California,2006,3270,36021202,9.1
California,2007,3166,36250311,8.7
California,2008,3084,36604337,8.4
California,2009,3010,36961229,8.1
California,2010,2858,37253956,7.7
California,2011,2904,37691912,7.7
California,2012,2941,38041430,7.7
California,2013,2918,38332521,7.6
California,2014,2838,38802500,7.3
California,2015,2984,39144818,7.6
California,2016,3098,39250017,7.9
California,2017,3083,39536653,7.8
California,2018,2938,39557045,7.4
