State,Year,Deaths,Population,Crude Rate,Total Background Laws,Total Guns Laws,Deaths Percent
California,1999,2959,33499204,8.8,11.0,71.0,0.009
California,2000,3036,33871648,9.0,11.0,85.0,0.009
California,2001,3136,34479458,9.1,11.0,86.0,0.009
California,2002,3344,34871843,9.6,11.0,93.0,0.01
California,2003,3355,35253159,9.5,11.0,93.0,0.01
California,2004,3224,35574576,9.1,11.0,93.0,0.009
California,2005,3353,35827943,9.4,11.0,93.0,0.009
California,2006,3270,36021202,9.1,11.0,93.0,0.009
California,2007,3166,36250311,8.7,11.0,93.0,0.009
California,2008,3084,36604337,8.4,11.0,93.0,0.008
California,2009,3010,36961229,8.1,11.0,93.0,0.008
California,2010,2858,37253956,7.7,11.0,93.0,0.008
California,2011,2904,37691912,7.7,11.0,94.0,0.008
California,2012,2941,38041430,7.7,11.0,95.0,0.008
California,2013,2918,38332521,7.6,11.0,99.0,0.008
California,2014,2838,38802500,7.3,11.0,100.0,0.007
California,2015,2984,39144818,7.6,11.0,102.0,0.008
California,2016,3098,39250017,7.9,11.0,104.0,0.008
California,2017,3083,39536653,7.8,11.0,106.0,0.008
